CycPeptMPDB_ID,Structurally_Unique_ID,Sequence,Monomer_Length,Molecule_Shape,Permeability,MolWt,ExactMolWt,Permeable
757,757,dVLTmeAPhe(4-CF3)meLMe_Phe(3-Cl)meLMono7,9,Circle,-4.48,1148807.0,1147.606002,0
758,758,Me_dAmeLmeFLmeFTmeFmeLMono7,9,Circle,-4.28,1122463.0,1121.68889,0
759,759,Me_BalTmeASer(tBu)meFmeLGMono7,8,Circle,-5.43,845052.0,844.5058404,0
760,760,Mono6meFTSarSer(tBu)meLmeLMono7,8,Circle,-4.72,915187.0,914.5840907,0
761,761,dVATmeAFmeLmeFMono7,8,Circle,-4.7,877097.0,876.5109258,0
762,762,Me_dAmeFmeLTSarSer(tBu)meLMono7,8,Circle,-4.59,901.16,900.5684406,0
763,763,ALmeLmeFAmeLmeFMono7,8,Circle,-4.16,917206.0,916.5786114,0
764,764,Me_dAMe_Phe(3-Cl)meLTSarSer(tBu)meLmeIMono7,9,Circle,-4.49,1062792.0,1061.629182,0
765,765,Me_dAmeLmeLTSarSer(tBu)meLmeIMono7,9,Circle,-4.6,994.33,993.6838047,0
766,766,dVMe_Phe(3-Cl)meAmeLTmeAmeLSer(tBu)Mono7,9,Circle,-4.22,1048765.0,1047.613532,0
767,767,dVmeLmeAmeLTmeAmeLSer(tBu)Mono7,9,Circle,-4.54,980303.0,979.6681547,0
768,768,meAMe_Phe(3-Cl)SarmeLTmeAmeLmeISer(tBu)Mono7,10,Circle,-4.55,1147898.0,1146.681946,0
769,769,meAmeLSarmeLTmeAmeLmeISer(tBu)Mono7,10,Circle,-4.54,1079436.0,1078.736569,0
770,770,Me_BalmeLTPhe(4-CF3)SarAmeLImeLmeLMono7,11,Circle,-4.39,1250557.0,1249.766152,0
771,771,Me_BalmeLTLSarAmeLImeLmeLMono7,11,Circle,-4.57,1148543.0,1147.794418,0
772,772,AIPmeLTGPhe(4-CF3)meAVLLMono7,12,Circle,-4.82,1277539.0,1276.740666,0
773,773,AIPmeLTGLmeAVLLMono7,12,Circle,-5.48,1175525.0,1174.768931,0
774,774,Me_BalSer(tBu)meLmeLTMe_Phe(3-Cl)GmeVPhe(4-CF3)Mono7,10,Circle,-4.15,1249912.0,1248.653681,0
775,775,meALmeATPMe_Phe(3-Cl)Phe(4-CF3)meIGmeALMono7,12,Circle,-4.85,1360028.0,1358.701694,0
776,776,Me_dAmeAImeLMe_Phe(3-Cl)TMe_Phe(3-Cl)meAmeLMono7,10,Circle,-4.15,1200361.0,1198.632409,0
777,777,dVMe_Phe(3-Cl)meLImeAMe_Phe(3-Cl)TmeAmeLMono7,10,Circle,-4.47,1214388.0,1212.648059,0
778,778,dVmeLmeLImeAmeLTmeAmeLMono7,10,Circle,-4.52,1077464.0,1076.757304,0
779,779,ALmeAmeLGmeAPhe(4-CF3)TmeLPhe(4-CF3)meVMono7,12,Circle,-4.24,1395596.0,1394.743701,0
780,780,Me_dAFmeLSer(tBu)FPTLmeIGMono7,11,Circle,-4.38,1230.56,1229.742382,0
781,781,meAmeFAmeLTmeImeAmeLSer(tBu)meLMono7,11,Circle,-4.49,1240.64,1239.820633,0
782,782,meAmeFLmeLTmeImeAmeLSer(tBu)meLMono7,11,Circle,-4.6,1282721.0,1281.867583,0
783,783,dAmeLmeATSarmeVAmeLLMono7,10,Circle,-5.7,965248.0,964.6321035,0
784,784,Me_dAmeVTmeAImeFAFMono7,9,Circle,-4.52,962203.0,961.5636896,0
785,785,meAmeFLmeLTSarmeISer(tBu)meVMono7,10,Circle,-4.32,1127.48,1126.736569,0
786,786,meLmeFLmeLTSarmeISer(tBu)meVMono7,10,Circle,-4.21,1169561.0,1168.783519,0
787,787,meAmeFAoc(2)meLTSarmeASer(tBu)meVMono7,10,Circle,-4.43,1113453.0,1112.720919,0
788,788,Mono6AmeLImeLmeVFTMono7,9,Circle,-4.51,984294.0,983.6419399,0
789,789,Mono6AmeLImeFmeVFTMono7,9,Circle,-4.54,1018311.0,1017.62629,0
790,790,dVLTmeAPhe(4-CF3)meLmeLMono7,8,Circle,-4.41,953158.0,952.5609106,0
791,791,Me_dAmeLTSarSer(tBu)meLmeIMono7,8,Circle,-4.52,867143.0,866.5840907,0
792,792,meALmeATPmeIGmeALMono7,10,Circle,-5.24,949205.0,948.6008034,0
793,793,dVmeLImeAMe_Phe(3-Cl)TmeAmeLMono7,9,Circle,-4.38,1018739.0,1017.602968,0
794,794,ALmeAmeLGmeAPhe(4-CF3)TmeLmeVMono7,11,Circle,-4.68,1180422.0,1179.687902,0
926,926,PGLGF,5,Circle,-10.0,471558.0,471.2481692,1
927,927,Mono13GLGF,5,Circle,-6.4,627787.0,627.3744323,1
928,928,IAAFPIP,7,Circle,-6.22,709889.0,709.4162971,1
929,929,Mono14AFPIP,6,Circle,-6.15,721925.0,721.3621534,1
930,930,Mono14TlemeFPIP,6,Circle,-5.02,778033.0,777.4247536,0
931,931,Mono14TleFPIP,6,Circle,-5.92,764006.0,763.4091035,0
932,1,AbuSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.01,1202635.0,1201.841368,0
933,933,ASarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.1,1188608.0,1187.825718,0
934,934,TSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.56,1218634.0,1217.836283,0
935,935,VSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.36,1216662.0,1215.857018,0
936,936,AbuSarmeLVmeLAdAmeLmeLVMe_Bmt(E),11,Circle,-6.39,1188608.0,1187.825718,1
937,937,AbuSarmeLVmeLAdAmeLmeLMe_dVMe_Bmt(E),11,Circle,-5.36,1202635.0,1201.841368,0
938,938,Me_Bmt(E)AbuSarmeLVmeLAdAmeLmeLmeV,11,Circle,-5.22,1202635.0,1201.841368,0
939,939,AbuSarmeLVmeLAdAmeLmeLmeVMono15,11,Circle,-5.48,1244672.0,1243.851933,0
940,940,d(N->O)LeuPImeVmeABal,6,Circle,-5.29,593766.0,593.378849,0
941,941,d(N->O)LeuPVmeVmeABal,6,Circle,-5.89,579739.0,579.3631989,0
942,942,d(N->O)Gly(allyl)PImeVmeABal,6,Circle,-6.29,577723.0,577.3475488,1
943,943,d(N->O)LeuPIVmeABal,6,Circle,-6.66,579739.0,579.3631989,1
944,944,Mono16PImeVmeABal,6,Circle,-7.1,630183.0,629.3191412,1
945,945,Mono16PVmeVmeABal,6,Circle,-7.4,616156.0,615.3034911,1
946,946,meVd(N->O)ValmeVd(N->O)ValmeVd(N->O)Val,6,Circle,-4.73,639831.0,639.4094804,0
947,947,meVd(N->O)aIlemeVd(N->O)aIlemeVd(N->O)Val,6,Circle,-5.34,667885.0,667.4407805,0
948,948,meAd(N->O)ValmeVd(N->O)ValmeVd(N->O)Val,6,Circle,-5.45,611777.0,611.3781803,0
949,949,meVd(N->O)ValmeVd(N->O)aIlemeVd(N->O)Val,6,Circle,-5.66,653858.0,653.4251305,0
950,950,meVd(N->O)aIlemeVd(N->O)aIlemeVd(N->O)aIle,6,Circle,-5.99,681912.0,681.4564306,0
951,951,AibFmeFFLMono2meL,7,Circle,-4.08,892155.0,891.5258475,0
952,952,AibFmeFFLPmeL,7,Circle,-4.19,878128.0,877.5101975,0
953,953,dAmeA(N->O)ValA(N->O)LeuMe_dF,6,Circle,-5.14,602729.0,602.3315644,0
954,954,dAmeA(N->O)Val(3-OH)A(N->O)LeuMe_dF,6,Circle,-5.19,618728.0,618.3264791,0
955,955,Me_dAGImeSmeVSVMe_dFGVmeTVmeTV,14,Circle,-8.39,1401713.0,1400.827903,1
956,956,Me_dAGVmeSmeVSVMe_dFGVmeTVmeTV,14,Circle,-7.24,1387686.0,1386.812253,1
957,957,Mono17Mono18Mono19Mono20,4,Circle,-4.73,762959.0,762.2981732,0
960,960,TIPTyr(Me),4,Circle,-7.24,488585.0,488.2634849,1
961,961,"meALMe_Phe(a,b-dehydro)G",4,Circle,-5.61,414506.0,414.2267054,0
962,962,2AbzAmeFLmeY,5,Circle,-5.22,641769.0,641.3213341,0
963,963,meQIPipVmeQ(N->O)xiIleFPGmeV,10,Circle,-9.4,1136403.0,1135.664132,1
966,966,dPStameLmeLStameL,6,Circle,-6.0,793104.0,792.5724634,0
967,967,PStameLmeLStameL,6,Circle,-5.1,793104.0,792.5724634,0
968,968,"dPSta(3R,4R)meLmeLStameL",6,Circle,-4.92,793104.0,792.5724634,0
969,969,dPStaMe_dLmeLStameL,6,Circle,-5.15,793104.0,792.5724634,0
970,970,dPStameLMe_dLStameL,6,Circle,-5.7,793104.0,792.5724634,0
971,971,"dPStameLmeLSta(3R,4R)meL",6,Circle,-4.7,793104.0,792.5724634,0
972,972,dPStameLmeLStaMe_dL,6,Circle,-5.22,793104.0,792.5724634,0
973,973,"dPSta(3R,4R)meLmeLSta(3R,4R)meL",6,Circle,-5.4,793104.0,792.5724634,0
974,974,PStaMe_dLMe_dLStaMe_dL,6,Circle,-5.52,793104.0,792.5724634,0
975,975,"dPStaMe_dLMe_dLSta(3R,4R)Me_dL",6,Circle,-5.15,793104.0,792.5724634,0
976,976,"PMono28meLmeLSta(3R,4R)meL",6,Circle,-5.52,789116.0,788.5775488,0
977,977,"PMono29meLmeLSta(3R,4R)meL",6,Circle,-4.96,789116.0,788.5775488,0
978,978,PMono28Me_dLMe_dLStaMe_dL,6,Circle,-5.52,789116.0,788.5775488,0
979,979,PMono29Me_dLMe_dLStaMe_dL,6,Circle,-5.0,789116.0,788.5775488,0
980,25,LMe_dLmeLLdPmeY,6,Circle,-5.52,755014.0,754.4992985,0
981,1,AbuSarmeLVmeLAdAmeLmeLmeVMe_Bmt(E),11,Circle,-5.96,1202635.0,1201.841368,0
982,929,Mono14AFPIP,6,Circle,-5.28,721925.0,721.3621534,0
983,983,Mono30AFPIP,6,Circle,-5.25,721925.0,721.3621534,0
984,984,Mono14AFPLP,6,Circle,-5.28,721925.0,721.3621534,0
985,985,Mono31AFPIP,6,Circle,-5.32,707898.0,707.3465033,0
986,986,Mono14AFPVP,6,Circle,-5.31,707898.0,707.3465033,0
987,987,Mono31VFPVP,6,Circle,-5.33,721925.0,721.3621534,0
988,988,Mono14AFPTP,6,Circle,-6.7,709.87,709.3257678,1
989,989,Mono14meAFPIP,6,Circle,-6.3,735952.0,735.3778034,1
990,990,Mono14AFPmeIP,6,Circle,-5.89,735952.0,735.3778034,0
991,991,Mono14AmeFPIP,6,Circle,-4.96,735952.0,735.3778034,0
992,992,Mono14AmeFPVP,6,Circle,-5.04,721925.0,721.3621534,0
993,931,Mono14TleFPIP,6,Circle,-5.66,764006.0,763.4091035,0
994,994,Mono14IFPIP,6,Circle,-5.21,764006.0,763.4091035,0
995,995,Mono14LFPIP,6,Circle,-5.33,764006.0,763.4091035,0
996,930,Mono14TlemeFPIP,6,Circle,-5.68,778033.0,777.4247536,0
997,997,Mono14ImeFPIP,6,Circle,-5.82,778033.0,777.4247536,0
998,998,Mono14LmeFPIP,6,Circle,-4.76,778033.0,777.4247536,0
999,25,dPmeYLMe_dLmeLL,6,Circle,-4.75,755014.0,754.4992985,0
1000,1000,dPdLdLLLY,6,Circle,-6.59,712933.0,712.4523483,1
1001,1001,dPdLLLLY,6,Circle,-6.37,712933.0,712.4523483,1
1002,1002,dPdLLdLLY,6,Circle,-6.84,712933.0,712.4523483,1
1003,1003,dPdLdLLdLY,6,Circle,-5.1,712933.0,712.4523483,0
1004,1004,dPdLdLdLdLY,6,Circle,-7.35,712933.0,712.4523483,1
1005,1005,dPdLLdLdLY,6,Circle,-6.32,712933.0,712.4523483,1
1006,1006,dPdLLLdLY,6,Circle,-5.44,712933.0,712.4523483,0
1007,1007,dPdLdLdLLY,6,Circle,-6.64,712933.0,712.4523483,1
1008,1008,dPmeLLMe_dLmeLY,6,Circle,-4.7,755014.0,754.4992985,0
1009,1009,dPmeLMe_dLLmeLY,6,Circle,-5.69,755014.0,754.4992985,0
1010,1010,dPmeLMe_dLLMe_dLY,6,Circle,-5.95,755014.0,754.4992985,0
1011,1011,dPmeLMe_dLdLmeLY,6,Circle,-6.26,755014.0,754.4992985,1
1012,1012,dPmeLMe_dLdLMe_dLY,6,Circle,-6.36,755014.0,754.4992985,1
1013,1013,dPmeLMe_dLmeLLY,6,Circle,-6.42,755014.0,754.4992985,1
1014,1014,dPmeLMe_dLmeLdLY,6,Circle,-4.63,755014.0,754.4992985,0
1015,1015,dPmeLMe_dLMe_dLLY,6,Circle,-5.67,755014.0,754.4992985,0
1016,1016,dPmeLMe_dLMe_dLdLY,6,Circle,-4.79,755014.0,754.4992985,0
1017,10,LdLLLdPY,6,Circle,-6.55,712933.0,712.4523483,1
1018,25,LMe_dLmeLLdPmeY,6,Circle,-4.5,755014.0,754.4992985,0
1019,1019,Me_dAAAAAmeA,6,Circle,-8.3,454528.0,454.2539828,1
1020,1020,meAdAdAdAdAMe_dA,6,Circle,-8.2,454528.0,454.2539828,1
1021,1021,Me_dAAAAmeAA,6,Circle,-8.2,454528.0,454.2539828,1
1022,1022,meAdAdAdAMe_dAdA,6,Circle,-8.3,454528.0,454.2539828,1
1023,1023,Me_dAmeAAmeAmeAA,6,Circle,-7.0,482582.0,482.2852829,1
1024,1024,meAMe_dAdAMe_dAMe_dAdA,6,Circle,-7.1,482582.0,482.2852829,1
1025,1025,Me_dWmeKTmeFPF,6,Circle,-10.0,849046.0,848.4584963,1
1026,1026,meWMe_dKdTMe_dFdPdF,6,Circle,-10.0,849046.0,848.4584963,1
1027,25,Me_dLmeLLdPmeYL,6,Circle,-4.4,755014.0,754.4992985,0
1028,1028,meLMe_dLdLPMe_dYdL,6,Circle,-4.3,755014.0,754.4992985,0
1029,1029,LMe_dLmeLLMe_dLmeY,6,Circle,-7.0,785084.0,784.5462486,1
1030,25,LMe_dLmeLLdPmeY,6,Circle,-6.0,755014.0,754.4992985,0
1031,1031,LdPmeLLdPmeY,6,Circle,-5.17,724944.0,724.4523483,0
1032,1032,iBu_GlyMe_dLmeLLdPmeY,6,Circle,-5.26,755014.0,754.4992985,0
1033,1033,LiBu_GlymeLLdPmeY,6,Circle,-5.13,740987.0,740.4836484,0
1034,1034,LMe_dLiBu_GlyLdPmeY,6,Circle,-5.51,740987.0,740.4836484,0
1035,1035,LMe_dLmeLLdPBn(4-OH)_Gly,6,Circle,-5.2,740987.0,740.4836484,0
1036,1036,LiBu_GlyiBu_GlyLdPmeY,6,Circle,-5.6,726.96,726.4679983,0
1037,1037,LiBu_GlymeLLdPBn(4-OH)_Gly,6,Circle,-5.14,726.96,726.4679983,0
1038,1038,LMe_dLiBu_GlyLdPBn(4-OH)_Gly,6,Circle,-5.44,726.96,726.4679983,0
1039,1039,LiBu_GlyiBu_GlyLdPBn(4-OH)_Gly,6,Circle,-5.54,712933.0,712.4523483,0
1040,1040,iBu_GlyiBu_GlyiBu_GlyiBu_GlydPBn(4-OH)_Gly,6,Circle,-6.4,712933.0,712.4523483,1
1041,1041,LMe_dLmeLLdP2-pyridylmethyl_Gly,6,Circle,-4.74,725976.0,725.4839827,0
1042,1042,LMe_dLmeLLdPMono32,6,Circle,-6.0,792985.0,792.4761184,0
1043,1043,LMe_dLmeLLdPMono33,6,Circle,-5.09,733996.0,733.5101975,0
1044,1044,LMe_dLmeLLdPMono34,6,Circle,-5.04,735024.0,734.5305986,0
1045,5,LdLdLdLPY,6,Circle,-5.79,712933.0,712.4523483,0
1046,1046,LLdLdPPY,6,Circle,-7.05,696.89,696.4210481,1
1047,1047,dLdLdLLPY,6,Circle,-6.96,712933.0,712.4523483,1
1048,2,dLdLLdLPY,6,Circle,-5.46,712933.0,712.4523483,0
1049,10,LdLLLdPY,6,Circle,-5.91,712933.0,712.4523483,0
1050,1050,LMe_dLLLdPY,6,Circle,-6.11,726.96,726.4679983,1
1051,1051,LdLmeLLdPY,6,Circle,-6.12,726.96,726.4679983,1
1052,1052,LdLLLdPmeY,6,Circle,-5.89,726.96,726.4679983,0
1053,1053,LMe_dLmeLLdPY,6,Circle,-6.02,740987.0,740.4836484,1
1054,1054,LMe_dLLLdPmeY,6,Circle,-5.82,740987.0,740.4836484,0
1055,1055,LdLmeLLdPmeY,6,Circle,-5.88,740987.0,740.4836484,0
1056,25,LMe_dLmeLLdPmeY,6,Circle,-6.24,755014.0,754.4992985,1
1057,1057,meLMe_dLdLdLPY,6,Circle,-5.42,740987.0,740.4836484,0
1058,1058,meLmeLdLdPPY,6,Circle,-5.95,724944.0,724.4523483,0
1059,1059,Me_dLMe_dLdLmeLPY,6,Circle,-5.73,755014.0,754.4992985,0
1060,1060,Me_dLMe_dLLMe_dLPY,6,Circle,-7.0,755014.0,754.4992985,1
1061,1061,meLMe_dLmeLLdPmeY,6,Circle,-5.82,769041.0,768.5149485,0
